"ID","Age","Gender","Education","Race","Income","Health","Q185","Q183","X0_5_95","X0_50_50","X0_10_90","X0_15_85","X0_20_80","X0_25_75","X0_30_70","X0_35_65","X0_40_60","X0_45_55","CT1","CT2","X0.5_5_95","X0.5_50_50","X0.5_10_90","X0.5_15_85","X0.5_20_80","X0.5_25_75","X0.5_30_70","X0.5_35_65","X0.5_40_60","X0.5_45_55","CT1.1","CT2.1","n0.5_5_95","n0.5_50_50","n0.5_10_90","n0.5_15_85","n0.5_20_80","n0.5_25_75","n0.5_30_70","n0.5_35_65","n0.5_40_60","n0.5_45_55","CT1.2","CT2.2","X5_5_95","X5_50_50","X5_10_90","X5_15_85","X5_20_80","X5_25_75","X5_30_70","X5_35_65","X5_40_60","X5_45_55","CT1.3","CT2.3","n5_5_95","n5_50_50","n5_10_90","n5_15_85","n5_20_80","n5_25_75","n5_30_70","n5_35_65","n5_40_60","n5_45_55","CT1.4","CT2.4","Q241","Q243","Q245","Q247","Q249","Q251","Q173","Q174","Q175","Q176","Q177","Q177_5_TEXT","Q178","Q179","Q179_6_TEXT","Q11","Q13","Q15","Q17","Q19","Q21","Q23","Q25","Q27","Q199_1","Q199_2","Q199_3","Q199_4","Q199_5","Q199_6","Q201_1","Q201_2","Q201_3","Q201_4","Q201_5","Q201_6","Q203_1","Q203_2","Q203_3","Q203_4","Q203_5","Q203_6","Q204_1","Q204_2","Q204_3","Q204_4","Q204_5","Q204_6","Q211","Q213","Q215","Q217","Q219","Q221","Q223","Q225_1","Q225_2","Q227","Q229","Q231","Q233","Q235","Q237","Q224","Q226","Q228","Q230","Q232","Q234","Q236","Q238","Q240","Q242","Q245.1"
180,28,"1","5","1","6","5","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","4","5","5","4","3","3","2","","","","","","","","","4","2","5","1","1","3","","1","","2","3","2","4","2","3","1","3","2","4","4","3","2","3","4","3","1","2","3","2","3","4","2","3","500","10","0.1","3","2","2","1 in 50","10","100","80","5","1","6","9","1","5","3","4","2","3","3","4","4","4","4","10/1/90"
181,25,"1","5","1","5","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","2","1","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","5","2","4","5","4","2","2","","","","","","","","","5","2","4","2","","","","","","4","2","4","3","3","2","3","2","4","3","2","4","2","2","2","2","1","4","1","4","2","4","2","1","500","10","0.1","3","2","2%","1 in 50","10","100","80 out of 100","2","1","18%","64","1","4","4","5","4","5","6","4","5","4","4","9/26/93"
182,35,"1","5","2","1","5","1","1","2","1","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","1","4","5","2","2","","","","","","","","","1","1","1","2","","","","","","5","3","5","1","5","1","3","4","1","5","5","4","1","5","2","4","1","5","1","5","2","5","5","2","1","1","1","3","2","2%","2%","10","100","20%","5","1","90%","64","3","4","4","4","4","5","4","3","5","5","5","1/24/84"
183,30,"1","2","2","1","4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","2","1","2","2","1","2","2","1","2","4","3","3","1","2","2","1","1","300","4","3","","2","5","","5","3","6","1","1","6","Money scheme","1","","2","2","3","3","3","4","2","2","2","2","2","2","3","3","3","3","3","3","5","3","1","2","3","4","30","4","8","3","2","20%","30%","5","10","Yes","1.5","2","12","5","2","2","2","2","2","2","2","3","2","4","3","12/24/88"
184,25,"1","2","2","3","5","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","1","2","2","2","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","1","1","30","2","1","","2","4","","1","1","7","1","1","2","","1","","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","500","5","1","2","2","2%","2 in 100","10","100","80 out of 100","2","1","90 out of 100","64","2","3","3","3","3","3","3","3","3","3","3","5/29/94"
185,46,"1","4","1","8","3","2","2","","","","","","","","","","","","","2","1","2","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","4","4","4","3","1","1","20","1","1","","","","","5","1","7","1","1","6","Pyramid scheme","3","","3","2","3","3","3","3","2","2","2","3","2","4","2","2","2","2","2","3","1","2","2","3","3","2","500","10","0.001","3","2","2% in 10 years","2 in 100 in ten years","10","100","80%","5","1","90%","64","2","4","4","4","4","4","4","4","4","4","4","8/14/72"
186,47,"1","5","1","9","4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","1","1","1","1","1","1","2","","","","","","","","","","","","","4","4","4","4","5","5","1","3","2000","4","2","","","","","6","1","7","2","","","","","","4","1","2","2","4","1","2","1","2","4","2","3","2","2","2","1","1","4","1","4","2","4","3","1","500","10","0.001","3","2","2","2","10","100","80","5","1","9","64","3","5","5","5","5","5","5","5","5","4","4","4/2/72"
187,48,"1","4","1","9","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","2","5","5","4","5","4","1","5","1000","4","2","","","","","7","1","7","1","1","2,3,6","False claims.","1,3","","4","2","4","2","4","2","3","2","4","3","3","2","3","2","2","2","1","2","1","2","3","2","3","1","500","10","1","3","2","2","2","10","100","80","50","1","10","4","3","6","6","6","6","6","6","4","6","4","5","12/25/70"
188,76,"1","2","1","4","1","1","1","","","","","","","","","","","","","2","1","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","3","2","1","1","10","3","3","","","","","1","1","7","1","5","3","","1","","1","2","3","3","1","4","1","2","3","2","3","2","3","4","4","3","2","3","2","4","3","1","2","1","500","0","0","3","1","2","3","10","100","80","10","1","5","5","1","1","1","1","1","1","1","1","1","5","1","10/6/43"
189,49,"1","4","1","11","4","2","2","2","2","2","2","2","2","2","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","5","4","4","4","1","2","1400","2","2","","2","5","","6","1","7","1","3","3","","1","","4","1","4","2","4","2","3","2","1","3","2","3","4","3","3","2","1","4","1","4","2","4","3","1","500","100","0.001","3","2","2","2","10","100","80 percent","50","1","90","10","2","4","5","4","5","4","4","5","4","4","4","11/22/69"
190,31,"1","3","1","4","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","2","4","4","5","5","5","2","","","","","","","","","6","1","7","1","1","1","","5","A company I was unfamiliar with.","3","2","3","2","3","2","2","2","2","4","2","3","2","3","3","3","2","4","1","4","2","4","2","1","500","10","0.1","3","2","2%","1 in 50","10","100","80%","5","1","50%","64","1","5","4","6","5","5","5","5","6","4","5","3/4/88"
191,51,"1","5","3","13","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","1","2","2","1","1","1","1","1","2","3","4","5","4","3","4","1","Many times","18,000","1","2","","","","","5","3","6","1","2","5,6","It was to invest in a restaurant with a group of peers.  The plan was very shakey in general","1,3","","2","2","2","2","2","2","1","1","1","3","1","1","1","1","3","1","1","4","2","3","2","4","1","1","500","100","0.001","3","2","2","1 in 50","10","1000","80 out 100","5","1","80","64","1","4","4","4","4","4","4","5","5","4","3","4/11/68"
192,53,"1","4","1","5","3","2","2","2","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","4","4","1","1","2","","","","","","","","","1","1","7","1","1","2","","1","","3","2","2","3","2","2","2","2","2","3","2","2","2","2","2","2","2","4","1","4","2","4","4","2","500","10","10","3","2","2% in 5 years","2 in 50 years","10","100","1 in 5","500","1","10%","14","3","1","1","4","4","4","1","1","3","4","3","8/31/65"
193,46,"1","4","1","11","4","2","2","","","","","","","","","","","","","2","2","2","2","2","2","2","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","4","4","3","3","2","","","","","","","","","4","4","6","1","1","2","","1","","2","3","3","4","3","4","2","2","2","2","4","3","2","2","3","3","2","3","2","2","2","2","2","3","500","10","10","3","2","0.5","1 in 50","10","100","8 out of 10","5","1","20","16","3","3","3","3","3","3","3","3","3","1","3","3/1/73"
194,47,"1","4","3","8","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","1","5","1","5","5","5","2","","","","","","","","","6","2","7","2","","","","","","4","2","3","2","3","1","2","2","1","4","2","4","2","3","3","3","1","4","1","4","1","4","2","1","500","10","0.1","3","2","2%","2","10","100","80","5","1","100","64","1","6","6","6","6","6","6","1","6","4","4","5/17/72"
195,57,"1","3","3","9","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","4","4","4","4","4","4","1","6","1500","1","2","","","","","2","3","3","1","1","3","","1","","2","1","2","3","3","2","2","1","3","2","1","2","2","2","1","3","1","4","1","4","2","4","3","1","500","10","1","1","2","14","25","14","45","2","4","1","8","71","2","4","4","4","4","4","4","4","4","4","3","8/28/61"
196,51,"1","4","3","3","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","1","2","1000","4","2","","","","","5","6","5","1","1","6","","5","stranger","3","3","3","3","3","3","2","2","2","2","2","3","3","2","3","3","3","2","2","3","2","3","2","3","500","10","1","1","3","1","2","10","100","20","10","1","10","3","2","4","5","4","3","4","3","3","4","3","3","10/31/67"
197,50,"1","4","3","6","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","1","1","2","1","2","1","5","5","5","5","5","2","","","","","","","","","3","1","7","2","","","","","","2","3","2","2","2","2","1","2","1","2","1","3","1","2","3","2","1","4","1","5","1","4","2","1","500","10","0.1","3","2","2","2","10","100","20%","5","1","18%","64","3","6","5","6","5","5","6","4","4","3","4","2/13/69"
198,30,"1","5","4","11","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","4","3","5","2","3","3","1","i dnot know","none","1","2","","2","6","my fault","4","7","7","1","1","1,2","","1","","1","1","1","1","1","1","1","2","1","2","1","3","2","2","2","2","1","1","1","2","3","2","1","2","500","10","0.1","3","2","2%","2%","10","100","20%","5","1","10%","16","1","4","4","4","4","4","4","4","4","3","4","1/19/88"
199,41,"1","4","1","4","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","2","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","3","4","4","4","4","4","2","","","","","","","","","4","3","4","2","","","","","","2","2","2","2","2","2","2","2","2","2","2","3","2","2","3","2","2","3","2","2","2","2","2","2","500","10","0.001","3","2","2%","5 years","10","100","80","5","1","18","64","3","4","4","4","4","5","4","4","4","4","3","1/1/78"
200,39,"1","2","1","4","3","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","3","5","5","5","2","","","","","","","","","6","2","6","1","2","2,3","","1","","3","2","4","2","4","3","3","3","4","2","2","4","3","3","3","2","2","4","1","4","2","4","5","1","500","20","1","3","2","5%","1 in 50","10","100","80","100","1","10","46","3","3","3","4","4","5","4","5","5","5","4","5/27/80"
201,52,"1","4","1","4","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","2","5","5","3","5","3","1","2","$1,000 ","4","1","","","","","4","4","7","1","20","1,2,3","","1","","2","3","3","3","2","3","2","3","3","3","2","4","2","2","3","2","1","4","1","4","2","4","3","2","500","10","0.1","3","2","2","2","10","100","I don't know if the disease is deadly.","5","1","10","64","3","4","4","4","4","4","4","4","4","3","3","1/12/67"
202,41,"1","2","1","5","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","4","1","2","2","5","2","2","","","","","","","","","7","1","7","2","","","","","","4","1","3","1","5","1","3","1","1","5","3","4","2","2","2","2","1","5","1","5","1","5","3","2","500","10","0.1","3","2","2","2 in 100","10","100","80 percent","2","1","I don't know","64","2","6","4","6","6","6","4","1","5","4","3","1/13/78"
203,62,"1","1","1","6","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","4","4","4","2","4","2","2","","","","","","","","","3","2","7","2","","","","","","4","1","3","2","4","2","1","1","1","4","1","4","1","2","2","2","1","4","1","4","1","4","2","1","500","10","1","3","2","2","2","10","100","20","10","1","1","64","1","1","1","1","1","2","1","2","1","2","2","10/24/56"
204,59,"1","3","2","8","4","1","1","2","2","2","1","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","4","4","3","4","2","1","Two","75000","4","1","","","","","4","2","7","2","","","","","","4","1","3","1","4","1","3","2","4","3","2","2","2","1","1","1","2","3","1","4","2","4","2","1","97","2","1","3","2","3 times","300","10","100","80","50","1","1","15","1","3","3","2","2","3","3","2","1","4","3","3/3/60"
205,36,"1","3","4","6","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","1","2","1","2","3","3","4","4","5","4","1","2","50000","4","1","","2","5","","2","1","4","2","","","","","","2","2","2","3","2","3","2","2","2","2","2","3","2","2","2","2","2","3","2","2","2","2","2","3","400","1","1","3","2","20","200","10","100","80","100","1","1","64","3","1","1","1","1","3","1","1","4","5","3","12/4/82"
206,39,"1","2","1","4","3","1","1","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","4","5","5","4","4","2","","","","","","","","","6","6","4","2","","","","","","3","2","5","2","5","2","1","2","3","4","2","2","4","1","5","5","1","5","1","5","1","4","1","1","500","20","1","3","2","1 in 5 years","1 in 50 in ten years","1","10","10 out of 50","1","1","50/50","64","3","4","4","4","4","4","4","4","4","4","5","5/25/80"
207,29,"1","3","1","3","5","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","4","4","5","5","4","4","2","","","","","","","","","7","1","7","1","1","2","","1","","3","3","3","4","5","4","3","3","4","2","1","3","2","2","2","3","1","3","2","3","2","4","2","3","500","10","0.1","3","2","2","1 in 50","10","100","20%","5","1","50%","64","1","3","3","3","3","5","3","6","6","4","2","1/1/90"
208,34,"1","5","1","8","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","4","4","2","5","5","5","1","1","1400","3","2","","","","","4","3","7","1","2","5","","1","","4","2","4","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","4","2","2","3","500","10","0.001","3","2","2","2","10","100","5-Apr","5","1","1:10","64","3","5","5","5","4","5","4","4","5","4","4","11/20/84"
209,33,"1","2","1","6","4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","5","2","5","1","1","1","2","","","","","","","","","2","4","3","2","","","","","","4","2","5","2","5","2","3","2","3","3","2","3","3","3","2","1","2","3","2","3","3","4","4","1","250","10","0.05","3","2","2","2","10","100","80","5","1","10","12","2","1","1","1","1","1","1","1","1","1","1","3/12/86"
